title,content,keywords
"(Petty) Baron Schaefer","Brujah Baron of Mars Hill. He holds a unique treaty allowing Sabbat members to store heretical books and artifacts in his library for safekeeping as a disinterested third party.","anarch,baron,brujah,librarian,npc,schaefer"
"1888 Vanderbilt Purchase","The year George Vanderbilt began purchasing 12,500 acres for his estate. This event drew the Ventrue Elder Evander to the region to capitalize on the development.","1888,evander,history,vanderbilt,ventrue"
"1900 Establishment of Praxis","The year Prince Evander declared the domain of Asheville safe from Lupines and officially established his Praxis.","1900,evander,founding,history,praxis"
"1910 Sabbat Incursion","The arrival of the Sword of Caine in Asheville, led by the young firebrand Tallula Donegan, seeking a stronghold for cross-Appalachian travel.","1910,history,invasion,sabbat,tallula"
"1914 Betrayal of Evander","The pivotal moment when E.W. Grove betrayed his sire, Prince Evander, to the Sabbat. Evander was destroyed, and the domain fell to the Sword of Caine.","1914,betrayal,coup,evander,grove,history"
"1914 Lupine Truce","A treaty struck by Archbishop Tallula Donegan with the Lupines immediately after taking power. It established the Biltmore Estate as neutral/forbidden ground in exchange for peace.","1914,biltmore,history,lupines,tallula,treaty"
"1927 Grove's Retirement","The year E.W. Grove faked his death/retired his mortal identity to rule entirely from the shadows as a vampire.","1927,grove,history,identity,masquerade"
"1948 Highland Hospital Fire","A disaster used to cover up the scandal of Tallula's affair with the ghoul Zelda Fitzgerald. Zelda was embraced in front of the Diocese after the fire.","1948,fire,history,scandal,tallula,zelda"
"1992 Black Hand Assassination","The first of several failed assassination attempts against Prince Tallula by the Black Hand following her defection to the Camarilla.","1992,assassination,black hand,history,tallula"
"1999 Red Star","Event where the Red Star appeared, prompting Tallula to crackdown on Gehenna cults.","1999,event,gehenna,history,red star"
"2000 Banu Haqim Seat","The year the Banu Haqim (via Magda Doluda) were granted a seat on the Primogen Council, replacing the Gangrel who had renounced it.","2000,banu haqim,history,magda,primogen"
"2001 Arboretum Elysium","The establishment of the NC Arboretum as a second Elysium. It includes an amphitheater for ritual combat, a controversial move that echoed Sabbat traditions.","2001,arboretum,arena,combat,elysium,history"
"2002 Path of Humanity","The year Prince Tallula successfully transitioned from the Path of Honorable Accord to the Path of Humanity, solidifying her Camarilla standing.","2002,history,humanity,path,redemption,tallula"
"2023 Edict of Succession","A decision ratified at the Grand Conclave listing Anarch domains in violation of Camarilla law.","2023,anarch,conclave,edict,history,law"
"2023 Grand Conclave","Major political event. Gangrel rejoined Tower, Karsh vanished, new Justicars named.","2023,conclave,event,history,politics"
"2023 Setite Negotiations","The formal beginning of talks to bring the Ministry (Setites) into the Camarilla, initiated at the Grand Conclave.","2023,conclave,history,ministry,politics,setites"
"Abbot","The pack member responsible for the maintenance, security, and logistics of the communal haven. They ensure the pack has blood, weapons, and a safe place to sleep.","abbot,defender,haven keeper,logistics,quartermaster,rank,sabbat"
"Abrams and Sherman","9th Gen Tzimisce shovelheads trained by Howitzer Prime.","abrams,minions,sabbat,sherman,shovelhead,tank,tzimisce"
"Abyssal Mysticism","Dark blood magic practiced by Lasombra (and some Sabbat). Involves summoning entities from the void. Rio de la Cruz is a practitioner.","abyss,discipline,forbidden,lasombra,magic"
"Acknowledged","A status trait indicating a neonate has been accepted by the Prince as a full member of Camarilla society. Without it, a vampire has no rights.","acknowledged,camarilla,citizenship,membership,status"
"Agitator","An Anarch title for a vampire who stirs up debate and questions the status quo to keep the movement honest.","agitator,anarch,provocateur,rebel,role,title"
"Alastor","A specialized Archon or hunter dedicated solely to pursuing those on the 'Red List' (the Anathema). They are marked with a magical tattoo (The Trophy) and have global authority to command assistance.","agent,alastor,authority,bounty hunter,camarilla,commander,hunter,position,red list,specialist,status,title"
"Ambassador","A representative from another domain or sect (rarely). They negotiate treaties and maintain diplomatic channels.","ambassador,camarilla,diplomat,envoy,foreigner,title"
"Amici Noctis","'The Friends of the Night'. The secret ruling council of Clan Lasombra. Mentioned in relation to Terissa and Maria Ramirez's plots.","council,lasombra,lore,politics,secret society"
"Ana Maria Alverez (Traitor)","Lasombra Elder. Betrayed Archon Tallula in Argentina, declared herself Baron of Rosario, and claimed credit for killing the Archon.","ana maria,antagonist,baron,lasombra,npc,traitor"
"Anarch Free State","A territory where the Camarilla hierarchy is rejected, and Anarchs rule by committee or survival of the fittest. The most famous was Los Angeles before it fell.","anarch domain,liberated zone,no prince,rebel territory"
"Anarch Movement","A sect of vampires who reject the rigid hierarchy of the Camarilla but still mostly uphold the Masquerade. They value freedom and equality (in theory) and often hold territory in 'Free States'. Baron Schaefer runs the local Anarch pocket in Mars Hill.","anarchs,barons,freedom fighters,rebels,revolution,sect"
"Anarch Revolt (Argentina)","Reference to the defection of Ana Maria Alverez and the fall of Rosario to the Anarchs in late 2024.","ana maria,anarch,argentina,history,2024"
"Anathema","Another name for the Red List.","criminal,hunted,red list,term"
"Ancilla","A vampire of intermediate age and status (typically 50-300 years). They serve as the ambitious middle management of the sect, aiming for Elder status.","ambitious,ancilla,camarilla,confirmed,experienced,middle class,middle management,position,proven,rank,status"
"Angellis Ater","The 'Black Angels'. A bloodline of Lasombra who turned to infernalism and joined the Baali. They combine Obtenebration with Daimoinon.","baali,black angels,bloodline,infernal,lasombra,lore"
"Anne Bonny","Historical pirate cited as a 'vibe' for Tallula Donegan.","flavor,inspiration,pirate,rebel,tallula"
"Anne-Marie Honey","11th Gen Brujah of Cast and Crew. Diablerized Dan Drifter. Toady.","anne-marie,brujah,diablerist,sabbat"
"Antediluvian","The progenitors of the clans, from the time before the Great Flood. They are the sleeping gods of the Kindred, whose waking brings Gehenna.","3rd generation,ancients,antediluvian,apocalypse,camarilla,clan founders,god,gods,progenitor,sleeping threats,status"
"Antitribu","'Anti-tribe'. Vampires who have defected from their parent clan's main sect. (e.g., Ventrue antitribu in the Sabbat). They often display twisted versions of their clan traits.","antitribu,defector,sabbat counterpart,traitor,twisted clan"
