title,content,keywords
"The First Tradition: The Masquerade","The defining law of the Camarilla and the foundation of modern Kindred survival. It commands that vampires must not reveal their true nature to those not of the Blood. Doing so forfeits one's rights of Domain and usually their life. In the modern nights of the Second Inquisition, this Tradition is enforced with paranoid absolute zero-tolerance.","first tradition,secrecy,hiding,camarilla law,mortal ignorance"
"The Second Tradition: The Domain","The law governing territory and respect within a Prince's city. It dictates that a Kindred's haven is their castle, sovereign and inviolate to others without invitation. In Greater Asheville, this extends to specific Feeding Territories assigned by the Seneschal, where poaching is considered a violation of the Second Tradition.","second tradition,territory,haven,sovereignty,trespassing,feeding rights"
"The Third Tradition: The Progeny","The restriction on creating new vampires. It mandates that a Kindred must have the permission of their Elder (the Prince) to sire. Creating a childe without permission is a capital offense, often resulting in the destruction of both the sire and the unauthorized neonate. In Asheville, Prince Tallula was known to grant this right sparingly, often as a reward for significant service.","third tradition,siring,progeny,creation,embrace,permission,population control"
"The Fourth Tradition: The Accounting","The law of responsibility. Until a Childe is released (acknowledged) by their Sire, the Sire commands them and bears the burden of their sins. If a Childe breaches the Masquerade or insults an Elder, the Sire suffers the punishment. This period of tutelage ensures new Kindred understand the nuances of the Jyhad before being granted independent status.","fourth tradition,responsibility,sire and childe,tutelage,accountability,release"
"The Fifth Tradition: Hospitality","The courtesy of travel and introduction. Kindred entering a new domain must present themselves to the Prince or their proxy (usually the Sheriff or Seneschal) to acknowledge their authority and request the right to remain. In Asheville, this presentation is often done at Elysium or directly to the Seneschal, Big Ben, prior to his disappearance.","fifth tradition,travel,guest rights,presentation,politeness,foreigners"
"The Sixth Tradition: Destruction","The right of life and death, reserved solely for the Elder (the Prince). No Kindred is permitted to destroy another of their kind without the sanction of the Prince, known as the Blood Hunt or Lextalionis. This tradition prevents the domain from descending into chaos and vendetta, concentrating the monopoly of violence in the hands of the ruler.","sixth tradition,killing,murder,blood hunt,lextalionis,prince's right"
"Prince Tallula Donegan","The Toreador Prince of the Land of the Sky (Greater Asheville). A former Sabbat Archbishop of Appalachia who defected to the Camarilla in 1991, bringing the city with her. She is known for her impeccable style, ruthless pragmatism, and a distinct love for high-stakes politics. Currently rumored to be in South America or missing, leaving a power vacuum in the domain.","ruler of asheville,ex-sabbat,archbishop defector,toreador elder,sovereign"
"Seneschal Big Ben","The right hand of Prince Tallula, a massive and imposing Elder whose clan is a subject of much speculation (rumored Brujah). He defected alongside Tallula in 1991 and handled the administrative grit of the domain. His recent disappearance (Dec 2024) has destabilized the court infrastructure.","seneschal,administrator,missing elder,tallula's enforcer,mystery clan"
"Oliver","The former Nosferatu Sheriff of Greater Asheville, known for his gruff demeanor and the catchphrase 'Start shit, get hit'. He served as the domain's physical enforcer since the 1991 flip. Rumors persist that he may have a Sabbat alter-ego named 'Twist', the Ductus of the Murder Piñata pack. He is currently missing.","sheriff,law enforcement,nosferatu ancilla,twist,murder piñata,double agent"
"E.W. Grove","The former Ventrue Keeper if Elysium and a legendary architect. He is the mastermind behind the Grove Park Inn and the Grove Arcade. He faked his death in 1927 and has a complicated history involving a betrayal of Prince Evander to the Sabbat in 1914, before defecting back to the Camarilla with Tallula in 1991.","keeper of elysium,architect,ventrue,traitor,grove park inn,builder"
"Sister Tiffany","A Malkavian Ancilla and the domain's former Harpy. In life, she was a nun and civil rights organizer. She arrived in Asheville in 1992 to help the domain transition from Sabbat brutality to Camarilla civility. She wields social status as a weapon and ensures the scandals of the city are properly recorded and punished.","harpy,social arbiter,malkavian nun,gossip,status manager"
"Svetlana Volshebnik","An Elder Tremere and former advisor to the court. She was sent to Asheville in 1991 to oversee the transition of the domain from Sabbat to Camarilla hands. While she holds no voting seat, her influence as a liaison and occult expert is undeniable. She battles against local infernalism and Sabbat infiltration.","tremere advisor,elder occultist,transition team,magic user,political liaison"
"Baron Schaefer","The Brujah Baron of Mars Hill and a key Anarch figure. he controls the Mars Hill University library, a repository of lore often considered heretical or forbidden by the Camarilla. He remained neutral during the 1991 domain flip and maintains a tense but functional peace with the Tower.","anarch baron,mars hill,librarian,brujah,lore keeper,neutral party"
"The Weather (Radio Show)","A pirate radio broadcast hosted by the reclusive Nosferatu Ken Dances. It serves as a news source and coded communication network for the Kindred of Asheville. The show features an eclectic mix of music and cryptic warnings about hunters, Sabbat movements, and masquerade breaches.","pirate radio,ken dances,communication network,nosferatu media,coded messages"
"Sabbat Coin ('bbat coin)","A rare gold coin minted at the Dahlonega Mint, used as an informal currency among the Sabbat and independent Kindred of Appalachia. Legend says they were seized by Tallula Donegan from Southern Lords during the Civil War. One coin is roughly equivalent to a Minor Boon in value.","currency,gold coin,minor boon,dahlonega mint,underground trade"
"Yule Tied","A Lasombra-led Sabbat pack stationed at Montreat College in Black Mountain. Led by Ductus Lucien Blake, they are Traditionalists who cling to the old rituals of the Sword of Caine. They are a constant thorn in the side of the Asheville Camarilla, representing the old regime that refuses to die.","sabbat pack,lasombra,montreat,lucien blake,traditionalists,antagonists"
